% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
0.029	1	1	3	10	1	0	85	0
0.032	1	1	4	3	1	0	85	0
0.033	1	1	4	4	1	0	85	0
0.034	1	1	4	5	1	0	85	0
0.035	1	1	4	6	1	0	85	0
0.036	1	1	4	7	1	28	2292	0
0.037	1	1	4	8	1	28	2292	0
0.038	1	1	4	9	1	28	2292	0
0.039	1	1	4	10	1	28	2292	0
0.04	1	1	5	1	1	28	2292	0
0.041	1	1	5	2	1	28	2292	0
0.042	1	1	5	3	1	28	2292	0
0.043	1	1	5	4	1	28	2292	0
0.044	1	1	5	5	1	28	2292	0
0.045	1	1	5	6	1	28	2292	0
0.046	1	1	5	7	1	28	2292	0
0.047	1	1	5	8	1	28	2292	0
0.048	1	1	5	9	1	28	2292	0
0.049	1	1	5	10	1	28	2292	0
0.05	1	1	6	1	1	28	2292	0
0.051	1	1	6	2	1	28	2292	0
0.052	1	1	6	3	1	28	2292	0
0.053	1	1	6	4	1	28	2292	0
0.054	1	1	6	5	1	28	2292	0
0.055	1	1	6	6	1	28	2292	0
0.056	1	1	6	7	1	28	2292	0
0.057	1	1	6	8	1	28	2292	0
0.058	1	1	6	9	1	28	2292	0
0.059	1	1	6	10	1	28	2292	0
0.06	1	1	7	1	1	28	2292	0
0.061	1	1	7	2	1	28	2292	0
0.062	1	1	7	3	1	28	2292	0
0.063	1	1	7	4	1	28	2292	0
0.064	1	1	7	5	1	28	2292	0
0.065	1	1	7	6	1	28	2292	0
0.066	1	1	7	7	1	28	2292	0
0.067	1	1	7	8	1	28	2292	0
0.068	1	1	7	9	1	28	2292	0
0.069	1	1	7	10	1	28	2292	0
0.07	1	1	8	1	1	28	2292	0
0.071	1	1	8	2	1	28	2292	0
0.072	1	1	8	3	1	28	2292	0
0.073	1	1	8	4	1	28	2292	0
0.074	1	1	8	5	1	28	2292	0
0.075	1	1	8	6	1	28	2292	0
0.076	1	1	8	7	1	28	2292	0
0.077	1	1	8	8	1	28	2292	0
0.078	1	1	8	9	1	28	2292	0
0.079	1	1	8	10	1	28	2292	0
0.08	1	1	9	1	1	28	2292	0
0.081	1	1	9	2	1	28	2292	0
0.082	1	1	9	3	1	28	2292	0
0.083	1	1	9	4	1	28	2292	0
0.084	1	1	9	5	1	28	2292	0
0.085	1	1	9	6	1	28	2292	0
0.086	1	1	9	7	1	28	2292	0
0.087	1	1	9	8	1	28	2292	0
0.088	1	1	9	9	1	28	2292	0
0.089	1	1	9	10	1	28	2292	0
0.09	1	1	10	1	1	28	2292	0
0.091	1	1	10	2	1	28	2292	0
